,121,123,231,213,212,1234,1213,1232,2134,2132,1212,2313,2312,121S,123S,231S,213S,212S,1234S,1213S,1232S,2134S,2132S,1212S,2313S,2312S,12S,21S,23S
8301,1,2,11,3,2,1,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7941,1,11,19,8,0,7,2,1,5,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,3,1
7905,0,8,38,13,5,5,0,1,8,1,0,1,4,2,1,1,2,0,1,0,0,0,0,0,0,0,3,4,12
8553,1,21,11,14,0,16,6,1,7,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
379209,1,16,11,15,2,13,2,2,7,1,0,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
8249,1,14,3,6,3,7,2,0,4,1,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,2,1,1
134513,0,6,13,18,9,4,6,0,6,0,0,4,2,2,1,5,1,0,2,0,0,1,0,0,1,0,2,8,5
8582,1,30,48,40,6,20,4,4,7,1,8,3,2,2,3,1,1,1,2,0,1,0,0,0,0,1,4,3,1
8004,1,20,17,11,2,6,8,5,6,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,1
3523,1,37,17,16,4,23,4,7,10,2,4,5,3,0,1,0,1,0,2,0,2,1,0,0,0,0,4,2,0
7974,0,5,15,6,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230883,1,17,32,22,5,5,2,2,8,1,0,3,2,2,1,3,1,1,1,0,0,1,1,0,1,0,3,8,7
3436,1,14,15,20,4,4,12,2,4,3,0,1,0,0,1,1,2,1,1,0,0,1,0,0,0,0,2,3,0
9227,1,20,36,46,7,10,6,2,14,2,0,5,3,6,1,7,4,0,2,2,0,2,0,0,0,0,6,9,5
11152,1,48,25,27,5,29,6,7,30,2,4,2,3,0,9,3,2,0,2,2,2,1,0,0,0,0,4,4,2
210044,1,65,46,55,6,31,8,14,32,2,2,9,4,0,1,4,5,0,1,0,0,2,0,0,0,0,4,2,2
48,1,76,43,37,6,44,4,10,27,4,0,2,1,2,5,4,6,0,5,2,0,0,0,0,0,0,7,0,2
25381,1,13,15,23,3,8,4,2,17,3,0,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0
36,1,18,22,18,1,14,2,0,11,2,0,1,3,0,2,1,1,0,1,0,0,1,0,0,0,0,3,0,0
402884,0,2,3,2,1,1,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70215,1,21,17,17,3,3,4,0,5,2,0,1,1,2,3,2,1,0,1,0,0,0,0,0,0,0,6,8,4
7978,1,23,12,17,3,6,4,2,10,1,0,2,0,0,2,0,2,0,1,0,0,1,1,0,0,0,1,4,0
25804,1,22,21,20,7,7,4,2,7,3,0,3,0,2,2,3,5,0,0,0,0,0,0,0,1,0,3,5,1
134294,0,24,24,14,1,10,4,2,10,0,0,4,1,0,2,2,1,1,2,0,0,0,0,0,0,0,3,0,2
12536,1,6,13,16,4,2,4,2,7,1,0,2,1,0,1,4,2,2,0,0,0,2,0,0,0,0,4,4,11
136441,1,22,47,35,6,20,12,3,18,0,0,2,2,4,6,7,8,0,2,0,0,2,0,0,1,0,5,3,2
54,1,37,63,60,10,25,10,7,40,1,2,7,2,0,4,14,4,2,1,0,1,2,0,0,1,0,6,15,6
13484,1,23,45,34,2,13,14,1,21,1,0,3,1,0,4,9,3,1,0,2,0,3,0,0,1,0,3,14,5
8717,1,9,25,23,2,8,0,0,10,0,0,2,1,0,2,4,6,0,0,0,0,1,0,0,0,0,1,8,20
14911,1,18,28,30,4,10,4,2,16,1,2,5,0,0,5,7,2,0,0,4,1,1,0,0,0,0,6,5,6
339789,1,20,25,19,3,9,8,2,14,1,2,1,2,2,3,0,3,0,2,0,0,2,0,0,0,0,1,3,0
8833,1,38,20,17,2,27,22,2,9,2,2,2,2,0,7,1,0,0,4,0,0,1,0,0,0,0,4,3,3
37726,1,6,5,5,2,4,0,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0
77557,1,4,11,5,2,2,0,0,3,1,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,2,0,2
77550,0,3,1,4,1,2,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
246866,1,49,30,51,9,23,6,12,24,1,2,2,0,0,5,0,0,0,1,0,1,0,0,0,0,0,3,1,2
21164,1,46,22,28,2,29,0,7,15,2,2,2,1,0,1,0,4,0,0,0,0,0,0,0,0,0,1,1,0
8336,1,46,47,53,10,29,16,2,15,7,4,2,4,0,3,2,3,0,0,0,0,1,2,0,0,0,5,5,0
7899,1,53,31,61,3,17,12,8,30,4,0,1,5,0,4,2,6,0,1,0,0,3,1,0,0,0,1,1,1
61988,1,23,32,24,7,17,14,5,10,2,0,4,1,0,1,1,3,1,0,2,0,2,0,0,0,0,3,5,0
8136,1,45,14,22,1,11,4,2,12,0,0,0,1,0,2,0,0,0,1,0,0,1,0,0,0,0,1,1,0
70389,1,29,45,34,8,9,14,2,19,3,2,5,2,0,2,2,0,1,1,4,0,1,0,0,0,0,4,4,3
7885,1,33,45,47,16,14,4,1,13,2,0,8,4,2,3,1,1,0,0,0,1,0,0,0,0,0,6,1,3
262,1,23,24,14,6,6,4,1,15,2,0,2,0,0,2,1,1,0,1,0,0,0,0,0,0,1,2,0,0
8976,1,26,42,29,9,13,10,1,16,1,4,3,2,2,3,1,2,0,0,2,0,0,0,0,0,0,4,5,0
25571,1,19,24,34,7,10,8,4,16,0,2,4,3,2,1,3,5,0,1,0,1,1,0,2,0,0,1,3,8
8192,1,28,46,36,11,12,2,3,14,6,2,6,1,0,2,5,2,1,0,0,0,0,0,0,0,0,1,4,1
8144,1,15,22,18,4,9,4,2,12,1,0,2,2,0,0,2,0,0,1,0,0,1,3,0,0,0,2,1,3
383,1,14,47,36,10,13,2,2,13,3,4,6,5,0,2,6,2,0,1,0,0,0,0,2,3,1,4,10,5
7847,1,15,33,19,1,6,0,3,6,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0
8116,1,22,29,14,7,7,6,1,12,3,0,5,2,2,2,6,1,1,1,2,0,0,0,0,1,1,4,8,4
703,1,35,20,17,1,17,4,5,10,1,2,2,0,0,2,0,1,0,3,0,0,1,0,0,0,0,0,0,2
20857,0,9,5,7,2,4,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2,0
343951,1,12,5,6,1,3,0,1,5,1,0,1,5,0,0,3,1,0,0,0,0,0,0,0,0,0,0,2,3
61941,1,3,13,5,2,1,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
215983,1,11,9,19,5,7,4,1,3,3,0,2,0,0,1,2,2,1,1,2,1,0,0,0,0,0,0,5,6
8953,1,6,10,5,0,3,0,1,6,0,0,0,1,0,2,0,1,0,0,0,0,0,1,0,0,0,2,0,7
297733,0,0,2,1,0,0,0,0,0,0,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
62344,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7888,1,2,6,7,1,5,2,1,2,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1
92899,1,21,35,27,7,9,2,3,9,2,0,3,1,0,3,0,5,0,0,0,0,2,1,0,0,0,1,7,2
160,1,20,31,35,7,7,0,4,6,5,2,1,3,2,1,0,0,0,1,1,0,1,0,0,1,0,2,0,0
8272,0,3,4,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
28292,1,84,52,71,13,38,24,10,42,4,2,6,5,2,1,4,8,0,3,2,0,3,0,0,1,0,8,6,4
32968,0,19,27,15,5,1,4,1,6,2,0,2,2,0,2,2,3,1,0,0,0,0,0,0,0,0,1,1,8
8266,0,4,22,8,1,2,0,0,6,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
7964,1,34,47,57,14,25,10,3,25,6,2,6,2,0,4,3,2,1,1,0,0,1,0,0,1,0,5,4,2
14870,1,46,20,34,6,23,8,7,18,0,4,3,2,0,5,1,2,0,1,0,0,0,0,0,0,0,3,0,1
346101,1,24,43,23,6,12,4,1,8,0,4,4,5,0,4,3,3,0,1,0,0,1,0,0,0,0,4,6,3
21160,1,12,11,14,1,4,2,3,3,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
18550,1,35,27,32,4,15,8,4,16,1,2,3,3,0,4,4,1,0,0,0,0,1,0,0,1,1,5,4,2
4908,1,22,30,14,4,10,2,2,6,0,0,7,1,0,0,2,1,0,0,0,0,1,0,0,0,1,1,0,2
8514,1,7,9,5,1,7,0,3,7,1,0,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
20505,0,6,6,5,0,1,0,0,2,0,0,3,0,2,0,3,1,1,0,0,0,0,0,0,0,0,0,1,0
20593,1,23,22,27,3,9,2,3,7,1,2,2,2,0,1,3,0,0,0,0,1,2,0,0,0,0,1,2,3
25393,1,50,16,38,2,25,10,5,16,3,0,1,0,0,2,0,1,1,3,0,0,0,0,0,0,0,4,2,3
