,Player,121,123,231,213,212,1234,1213,1232,2134,2132,1212,2313,2312,121S,123S,231S,213S,212S,1234S,1213S,1232S,2134S,2132S,1212S,2313S,2312S,12S,21S,23S,Age,MP,Goals,Assists,xGp90,xAp90,ChCr,YC,RC,Tackles,Pressures,Position,Value
1475,Tobias Strobl,0,1,2,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.0,10.0,0.0,0.0,0.0,0.04,6.0,1.0,0.0,18.0,124.0,midfield - Defensive Midfield,1800000.0
1476,Julian Schieber,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0,2.0,0.0,0.0,0.14,0.0,2.0,1.0,0.0,1.0,18.0,attack - Centre-Forward,900000.0
1484,Andreas Luthe,0,1,1,3,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,midfield - Central Midfield,3150000.0
1487,Alexander Meier,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.0,13.0,2.0,2.0,0.2,0.2,27.0,1.0,0.0,14.0,164.0,attack - Second Striker,675000.0
1488,Alexander Nubel,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.0,13.0,2.0,2.0,0.2,0.2,27.0,1.0,0.0,14.0,164.0,Goalkeeper,450000.0
1492,Daniele De Rossi,1,39,47,42,5,15,12,8,22,2,0,5,4,0,2,1,3,1,3,0,0,1,0,0,0,1,7,7,1,34.0,22.0,1.0,1.0,0.04,0.07,43.0,6.0,1.0,20.0,202.0,midfield - Defensive Midfield,3150000.0
1493,Aleksandar Kolarov,1,61,69,42,19,31,20,6,29,5,2,11,5,0,2,4,6,0,3,0,0,1,1,0,0,0,8,4,2,31.0,35.0,2.0,6.0,0.08,0.25,147.0,3.0,0.0,64.0,256.0,Defender - Left-Back,10800000.0
1494,Juan Guilherme Nunes Jesus,1,34,21,34,2,21,6,3,14,3,2,3,5,0,4,0,3,0,2,0,0,0,0,0,0,0,4,0,0,26.0,22.0,0.0,0.0,0.02,0.01,10.0,4.0,1.0,40.0,160.0,Defender - Centre-Back,11700000.0
1496,Robin Gosens,1,18,39,16,9,3,12,2,13,1,4,5,3,2,0,1,3,0,1,0,0,2,0,0,0,0,5,2,1,23.0,21.0,1.0,2.0,0.04,0.11,37.0,1.0,0.0,60.0,265.0,midfield - Left Midfield,2250000.0
1498,Remo Freuler,1,63,46,48,11,27,14,12,39,6,6,9,3,4,5,1,2,2,3,0,3,5,1,0,0,2,6,5,1,25.0,35.0,5.0,2.0,0.18,0.08,100.0,4.0,1.0,96.0,754.0,midfield - Central Midfield,12600000.0
1499,Alisson Ramses Becker,1,30,34,31,7,12,6,4,15,5,2,1,3,0,1,0,1,0,0,0,0,1,0,0,0,0,2,0,0,24.0,37.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,3.0,Goalkeeper,54000000.0
